id_electoral,ano,tipo_eleccion,fecha_eleccion,coddpto70,coddpto,departamento70,departamento,codmpio70,codmpio,municipio,circunscripcion,codigo_partido,codigo_lista,en_lista,primer_apellido,segundo_apellido,nombres,votos,curules,index,municipio_old
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5021,5021,ALEJANDRIA,Departamental,18480001,4,1,ESTRADA,V,FEDERICO,0,0,92,ALEJANDRIA
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5021,5021,ALEJANDRIA,Departamental,18480001,4,,,,PARTIDO LIBERAL COLOMBIANO,0,0,93,ALEJANDRIA
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5021,5021,ALEJANDRIA,Departamental,18480001,5,1,LENIS,C,PEDRO,0,0,94,ALEJANDRIA
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5021,5021,ALEJANDRIA,Departamental,18480001,5,,,,PARTIDO LIBERAL COLOMBIANO,0,0,95,ALEJANDRIA
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5021,5021,ALEJANDRIA,Departamental,18480001,6,1,RINCON,N,OSCAR,0,0,96,ALEJANDRIA
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5021,5021,ALEJANDRIA,Departamental,18480001,6,,,,PARTIDO LIBERAL COLOMBIANO,0,0,97,ALEJANDRIA
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5021,5021,ALEJANDRIA,Departamental,18490002,1,1,VALDERRAMA,AGUDELO,J EMILIO,0,0,98,ALEJANDRIA
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5021,5021,ALEJANDRIA,Departamental,18490002,1,,,,PARTIDO CONSERVADOR COLOMBIANO,221,0,100,ALEJANDRIA
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5021,5021,ALEJANDRIA,Departamental,18490002,1,2,OPSINA,HERNANDEZ,MARIANO,0,1,99,ALEJANDRIA
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5021,5021,ALEJANDRIA,Departamental,18490002,2,,,,PARTIDO CONSERVADOR COLOMBIANO,1,0,102,ALEJANDRIA
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5021,5021,ALEJANDRIA,Departamental,18490002,2,1,GIRALDO,,ENRIQUE,0,1,101,ALEJANDRIA
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5021,5021,ALEJANDRIA,Departamental,18490002,3,,,,PARTIDO CONSERVADOR COLOMBIANO,92,0,105,ALEJANDRIA
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5021,5021,ALEJANDRIA,Departamental,18490002,3,1,PIEDRAHITA,CARDONA,JAIME,0,1,103,ALEJANDRIA
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5021,5021,ALEJANDRIA,Departamental,18490002,3,2,RAMIREZ,AGUDELO,LIBARDO,0,1,104,ALEJANDRIA
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5021,5021,ALEJANDRIA,Departamental,18490002,4,,,,PARTIDO CONSERVADOR COLOMBIANO,239,0,107,ALEJANDRIA
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5021,5021,ALEJANDRIA,Departamental,18490002,4,1,RESTREPO,LONDONO,JUAN GONZALO,0,1,106,ALEJANDRIA
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5021,5021,ALEJANDRIA,Departamental,18490002,5,1,SIERRA,L,DARIO,0,0,108,ALEJANDRIA
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5021,5021,ALEJANDRIA,Departamental,18490002,5,,,,PARTIDO CONSERVADOR COLOMBIANO,0,0,109,ALEJANDRIA
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5021,5021,ALEJANDRIA,Departamental,,998,,VOTOS NULOS,,,2,0,110,ALEJANDRIA
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5021,5021,ALEJANDRIA,Departamental,,999,,VOTOS EN BLANCO,,,0,0,111,ALEJANDRIA
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5030,5030,AMAGA,Departamental,18480001,1,,,,PARTIDO LIBERAL COLOMBIANO,152,0,114,AMAGA
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5030,5030,AMAGA,Departamental,18480001,1,1,AGUDELO,VILLA,HERNANDO,0,1,112,AMAGA
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5030,5030,AMAGA,Departamental,18480001,1,2,FERNANDEZ,SANTAMARIA,JORGE,0,1,113,AMAGA
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5030,5030,AMAGA,Departamental,18480001,2,,,,PARTIDO LIBERAL COLOMBIANO,646,0,117,AMAGA
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5030,5030,AMAGA,Departamental,18480001,2,1,ECHEVERRI,MEJIA,HERNANDO,0,1,115,AMAGA
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5030,5030,AMAGA,Departamental,18480001,2,2,ELEJALDE,TORO,BERNARDO,0,1,116,AMAGA
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5030,5030,AMAGA,Departamental,18480001,3,,,,PARTIDO LIBERAL COLOMBIANO,148,0,119,AMAGA
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5030,5030,AMAGA,Departamental,18480001,3,1,RESTREPO,ARBELAEZ,CARLOS,0,1,118,AMAGA
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5030,5030,AMAGA,Departamental,18480001,4,1,ESTRADA,V,FEDERICO,0,0,120,AMAGA
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5030,5030,AMAGA,Departamental,18480001,4,,,,PARTIDO LIBERAL COLOMBIANO,5,0,121,AMAGA
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5030,5030,AMAGA,Departamental,18480001,5,1,LENIS,C,PEDRO,0,0,122,AMAGA
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5030,5030,AMAGA,Departamental,18480001,5,,,,PARTIDO LIBERAL COLOMBIANO,241,0,123,AMAGA
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5030,5030,AMAGA,Departamental,18480001,6,1,RINCON,N,OSCAR,0,0,124,AMAGA
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5030,5030,AMAGA,Departamental,18480001,6,,,,PARTIDO LIBERAL COLOMBIANO,0,0,125,AMAGA
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5030,5030,AMAGA,Departamental,18490002,1,1,VALDERRAMA,AGUDELO,J EMILIO,0,0,126,AMAGA
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5030,5030,AMAGA,Departamental,18490002,1,,,,PARTIDO CONSERVADOR COLOMBIANO,106,0,128,AMAGA
219700001,1970,Senado,Abril 19,5,5,ANTIOQUIA,ANTIOQUIA,5030,5030,AMAGA,Departamental,18490002,1,2,OPSINA,HERNANDEZ,MARIANO,0,1,127,AMAGA
